top left x,top left y,bottom right x,bottom right y,angle,distance
17.75,31.25,92.75,106.25,-28.1150442478,79.4056333076
14.75,31.25,89.75,106.25,-28.4336283186,79.6070484803
15,31.25,90,106.25,-28.407079646,79.5901967611
0.25,31.25,75.25,106.25,-29.9734513274,80.6050209021
59.25,31.25,134.25,106.25,-23.7079646018,76.8064532654
70.5,31.25,145.5,106.25,-22.5132743363,76.164704819
16.75,31.25,91.75,106.25,-28.2212389381,79.4725761471
5,31.25,80,106.25,-29.4690265487,80.2736821489
75,31.25,150,106.25,-22.0353982301,75.9158455152
8.25,31.25,83.25,106.25,-29.1238938053,80.0494423925
66,31.25,141,106.25,-22.9911504425,76.418066493
62.25,31.25,137.25,106.25,-23.389380531,76.6326083379
59.5,31.25,134.5,106.25,-23.6814159292,76.7918914749
2.5,31.25,77.5,106.25,-29.7345132743,80.44754017
28.75,31.25,103.75,106.25,-26.9469026549,78.6823211847
24.5,31.25,99.5,106.25,-27.3982300885,78.9589261661
75.75,31.25,150.75,106.25,-21.9557522124,75.8748098174
1.5,31.25,76.5,106.25,-29.8407079646,80.5174140097
6,31.25,81,106.25,-29.3628318584,80.2044708618
47.25,31.25,122.25,106.25,-24.982300885,77.5212126669
0,31.25,75,106.25,-30,80.622577483
83.25,31.25,158.25,106.25,-21.1592920354,75.4714443651
2.25,31.25,77.25,106.25,-29.7610619469,80.4649909597
50.25,31.25,125.25,106.25,-24.6637168142,77.3396425827
16.75,31.25,91.75,106.25,-28.2212389381,79.4725761471
59.5,31.25,134.5,106.25,-23.6814159292,76.7918914749
23,31.25,98,106.25,-27.5575221239,79.0574140242
59.25,31.25,134.25,106.25,-23.7079646018,76.8064532654
81.5,31.25,156.5,106.25,-21.3451327434,75.564420691
15.5,31.25,90.5,106.25,-28.3539823009,79.5565298648
81.75,31.25,156.75,106.25,-21.3185840708,75.5510956083
24.75,31.25,99.75,106.25,-27.3716814159,78.9425551317
29.25,31.25,104.25,106.25,-26.8938053097,78.6500181709
81.5,31.25,156.5,106.25,-21.3451327434,75.564420691
53.75,31.25,128.75,106.25,-24.2920353982,77.1302273508
71.75,31.25,146.75,106.25,-22.3805309735,76.095123706
66,31.25,141,106.25,-22.9911504425,76.418066493
75.25,31.25,150.25,106.25,-22.0088495575,75.9021529057
40.5,31.25,115.5,106.25,-25.6991150442,77.9366639044
